Restaurant,Cuisine,Budget,Location
Mudmee Thai Restaurant,Thai,Cheap,City of London
Oie,Thai,Moderate,City of London
Thai Square Mansion House,Thai,Expensive,City of London
Badolina,Mediterranean,Cheap,City of London
Fora Restaurant,Mediterranean,Moderate,City of London
HAZ St Paul's,Mediterranean,Expensive,City of London
Porky's BBQ Bankside,Barbeque,Cheap,City of London
Bodean's BBQ Tower Hill,Barbeque,Moderate,City of London
WALTER AND MONTY,Barbeque,Expensive,City of London
Pret a Manger,British,Cheap,City of London
Simpsons Tavern,British,Moderate,City of London
The Ivy City Garden,British,Expensive,City of London
Chilango,Mexican,Cheap,City of London
Wahaca St Paul's,Mexican,Moderate,City of London
Cheeky Chicos,Mexican,Expensive,City of London
Itsu,Japanese,Cheap,City of London
Miyama,Japanese,Moderate,City of London
SUSHISAMBA City,Japanese,Expensive,City of London
Beboz Italian Street Food,Italian,Cheap,City of London
Lantipasto City,Italian,Moderate,City of London
Enoteca da Luca St Paul's,Italian,Expensive,City of London
La Tasca,Spanish,Cheap,City of London
"Las Banderas, City of London",Spanish,Moderate,City of London
Hispania,Spanish,Expensive,City of London
